表格,FCA编号,中文名称,CAS号,使用范围和最大使用量/%,SML/QM/(mg/kg),SML(T)/(mg/kg),SML(T),分组编号,其他要求
A2,FCA0942,聚氧乙烯山梨糖醇酐单油酸酯 (吐温 -80),9005-65-6,按生产需要适量使用  30 2,,,,,
A2,FCA0945,聚氧乙烯辛烷基苯酚醚,9036-19-5,按生产需要适量使用  30 2,,,,,
A2,FCA0946,聚乙二醇,25322-68-3,15 30 2,,,,,
A2,FCA0951,"聚乙二醇与 1-癸醇封端的 1,1'-亚甲基双 [4-异氰酸根合环己烷 ]的聚合物 ;1-癸醇封端的聚乙二醇与 1,1'-亚甲基双 [4-异氰酸根合环己烷 ]的聚合物",70879-50-4,PU涂料 :按生产需要适量使用,"1(以异氰酸根计 ,QM);1(环氧乙烷 :QM)或",ND(环氧乙烷,":SML,DL=0.01mg/kg)",,"30(以乙二醇计 );ND(以异氰酸根计 ,DL=0.01mg/kg) 2;17"
A2,FCA0952,聚乙酸乙烯酯,9003-20-7,按生产需要适量使用  12(醋酸乙烯酯 :SML),,,,,
A2,FCA0956,"均苯四甲酸二酐 ;1H ,3H-苯并 [1,2-c:4,5-c']二呋喃 -1,3,5,7-四酮",89-32-7,"按生产需要适量使用  0.05(以均苯四甲酸计 ,SML) 生产的材料或制品仅用于接触水性、酸性和乙醇含量不超过 20%的食品",,,,,
A2,FCA0959,亮蓝,3844-45-9,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A2,FCA0960,邻苯二甲酸,88-99-3,按生产需要适量使用,,,,,
A2,FCA0961,邻苯二甲酸二 (α-乙基己酯 ),117-81-7,5 1.5(SML) 60 32 生产的材料或制品不得用于接触脂肪性食品、乙醇含量高于 20%的食品和婴幼儿食品,,,,,
A2,FCA0963,邻苯二甲酸二烯丙酯与丙烯酸乙酯和甲基丙烯酸的共聚物,28411-49-6,"按生产需要适量使用  ND(邻苯二甲酸二烯丙酯 :SML,DL=0.01mg/kg)",6(以丙烯酸计 );6(以甲基丙烯酸计 ),22;23,生产的材料或制品不得用于接触脂肪性食品、乙醇含量高于,,20%的食品和婴幼儿食品
A2,FCA0967,邻苯二羧酸 -二 -C8~C10支链烷基酯 (C9富集 ),68515-48-0,43 9[以 SML(T)组号 26物质之和计 ];60[以 SML(T)组号 32物质之和计 ] 26;32 生产的材料或制品不得用于接触脂肪性食品、乙醇含量高于 20%的食品和婴幼儿食品,,,,,
A2,FCA0969,邻甲酚,95-48-7,按生产需要适量使用,,,,,
A2,FCA0970,磷酸,7664-38-2,按生产需要适量使用,,,,,
A2,FCA0973,磷酸 -2-乙基己基二苯酯 ;磷酸二苯异辛酯,1241-94-7,按生产需要适量使用  2.4(SML) 生产的材料或制品仅用于接触非脂肪性食品的材料,,,,,
A2,FCA0977,磷酸二氢钾,7778-77-0,按生产需要适量使用,,,,,
A2,FCA0982,磷酸氢二钾,7758-11-4,按生产需要适量使用,,,,,
A2,FCA0984,磷酸氢镁三水合物,7782-75-4,按生产需要适量使用,,,,,
A2,FCA0992,硫代硫酸钠,7772-98-7,按生产需要适量使用  10 19,,,,,
A2,FCA0995,硫酸,7664-93-9,按生产需要适量使用,,,,,
A2,FCA0996,硫酸铵,7783-20-2,按生产需要适量使用,,,,,
A2,FCA1000,硫酸钠,7757-82-6,按生产需要适量使用,,,,,
A2,FCA1003,硫酸锌,7733-02-0,按生产需要适量使用 锌元素 SML应符合附录 C规定,,,,,
A2,FCA1004,硫酸亚铁,7782-63-0,按生产需要适量使用 铁元素 SML应符合附录 C规定,,,,,
A2,FCA1006,六亚甲基四胺,100-97-0,按生产需要适量使用  15 15,,,,,
A2,FCA1007,卵磷脂,8002-43-5,按生产需要适量使用,,,,,
A2,FCA1008,铝,7429-90-5,按生产需要适量使用,,,,,
A2,FCA1017,氯化镁,7786-30-3,按生产需要适量使用,,,,,
A2,FCA1018,氯化锰,7773-01-5,按生产需要适量使用 锰元素 SML应符合附录 C规定,,,,,
A2,FCA1019,氯化钠,7647-14-5,按生产需要适量使用,,,,,
A2,FCA1022,氯化亚锡,7772-99-8,"按生产需要适量使用  0.18(SML,以锡计 )",,,,,
A2,FCA1023,氯磺化 -皂化石蜡油,68188-18-1,PVDC涂料 :2(以干重计,),6(SML),C14~C16烷基含量不低于,,50%
A2,FCA1024,氯乙烯和乙酸乙烯的共聚物,9003-22-9,按生产需要适量使用  12(乙酸乙烯酯 :SML);ND(氯乙烯,":SML,DL=0.01mg/kg)或",1(氯乙烯,",QM)",,
A2,FCA1025,马来酸酐改性聚丙烯,119415-04-2,按生产需要适量使用,,,,,
A2,FCA1028,锰紫,10101-66-3,"按生产需要适量使用 应符合着色剂纯度要求 ,见注 ;锰元素 SML应符合附录 C规定",,,,,
A2,FCA1032,木炭,16291-96-6,1,,,,,
A2,FCA1034,木质素磺酸钠,8061-51-6,0.2 0.24(木质素磺酸 :SML),,,,,
A2,FCA1035,萘磺酸与甲醛聚合物的钠盐,9084-06-4,按生产需要适量使用  15 15,,,,,
A2,FCA1039,尿素与甲醛和异丁基醇的聚合物,68002-18-6,按生产需要适量使用  15 15,,,,,
A2,FCA1043,硼砂,1303-96-4,按生产需要适量使用  6 16,,,,,
A2,FCA1045,膨润土,1302-78-9,按生产需要适量使用,,,,,
A2,FCA1053,羟丙基纤维素,9004-64-2,按生产需要适量使用,,,,,
A2,FCA1057,二甲基硅氧烷 ;羟基封端的二,70131-67-8,有机硅涂料 :按生产需要适量,,,,,
A2,FCA1061,羟乙基纤维素,9004-62-0,按生产需要适量使用,,,,,
A2,FCA1064,氢化处理的石蜡,64742-51-4,按生产需要适量使用,,,,,
A2,FCA1068,氢化树脂酸和松香酸甘油酯,65997-13-9,按生产需要适量使用,,,,,
A2,FCA1069,氢化树脂酸和松香酸甲酯,8050-15-5,按生产需要适量使用,,,,,
A2,FCA1070,氢化松香,65997-06-0,按生产需要适量使用,,,,,
A2,FCA1073,氢化椰子油,84836-98-6,按生产需要适量使用,,,,,
A2,FCA1075,氢氧化铵,1336-21-6,按生产需要适量使用,,,,,
A2,FCA1076,氢氧化钡,17194-00-2,按生产需要适量使用 钡元素 SML应符合附录 C规定,,,,,
A2,FCA1077,氢氧化钾,1310-58-3,按生产需要适量使用,,,,,
A2,FCA1078,氢氧化锂,1310-65-2,按生产需要适量使用 锂元素 SML应符合附录 C规定,,,,,
A2,FCA1079,氢氧化铝,21645-51-2,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A2,FCA1081,氢氧化钠,1310-73-2,按生产需要适量使用,,,,,
A2,FCA1084,壬基酚聚氧乙烯醚硫酸铵盐,9051-57-4,"按生产需要适量使用  ND(壬基酚 ,SML,DL=0.01mg/kg) 30 2",,,,,
A2,FCA1092,"三苯六甲酸酐与 1,1'-亚甲基双 (4-异氰酸酯苯 )的共聚物",25053-57-0,"按生产需要适量使用  1(以异氰酸根计 ,QM);5(SML,以偏苯三酸酐计 ) ND(DL=0.01mg/kg) 17",,,,,
A2,FCA1094,"三聚 -1,2-丙二醇",24800-44-0,按生产需要适量使用,,,,,
A2,FCA1101,三亚乙基四胺,112-24-3,按生产需要适量使用,,,,,
A2,FCA1104,三乙胺,121-44-8,按生产需要适量使用,,,,,
A2,FCA1105,三乙醇胺,102-71-6,按生产需要适量使用  0.05(SML),,,,,
A2,FCA1106,三乙酸甘油酯,102-76-1,按生产需要适量使用,,,,,
A2,FCA1107,三异丙醇胺,122-20-3,按生产需要适量使用  5(SML),,,,,
A2,FCA1109,山梨醇酐三硬脂酸酯 ;脱水山梨醇三硬脂酸酯,26658-19-5,按生产需要适量使用,,,,,
A2,FCA1116,十二醇,112-53-8,按生产需要适量使用,,,,,
A2,FCA1119,十二烷基 (磺化苯氧基 )苯磺酸二钠,28519-02-0,按生产需要适量使用,,,,,
A2,FCA1120,十二烷基苯磺酸,27176-87-0,按生产需要适量使用  30(SML),,,,,
A2,FCA1121,十二烷基苯磺酸钠,25155-30-0,按生产需要适量使用  30(SML),,,,,
A2,FCA1122,十二烷基硫酸钠,151-21-3,按生产需要适量使用,,,,,
A2,FCA1123,十六烷基 (磺基苯氧基 )磺酸二钠盐,65143-89-7,按生产需要适量使用,,,,,
A2,FCA1125,十六烷酸钙,542-42-7,按生产需要适量使用,,,,,
A2,FCA1128,石灰石,1317-65-3,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A2,FCA1129,石蜡和烃蜡,8002-74-2,按生产需要适量使用,,,,,
A2,FCA1130,石蜡油,8012-95-1,按生产需要适量使用 平均分子量不低于 480。100℃时运动黏度不低于 8.5-6m2/×10s。矿物碳氢化合物碳原子数少于 25的物质不高于 5%(质量分数 ),,,,,
A2,FCA1131,石油加氢轻馏分,64742-47-8,按生产需要适量使用,,,,,
A2,FCA1132,石油精,64742-48-9,按生产需要适量使用,,,,,
A2,FCA1133,食用植物油  — 按生产需要适量使用,,,,,,,
A2,FCA1134,叔丁基过氧化氢,75-91-2,按生产需要适量使用,,,,,
A2,FCA1135,"叔二丁基羟基甲苯 (BHT);2,6-二叔丁基对甲基苯酚",128-37-0,按生产需要适量使用  3(SML),,,,,
A2,FCA1137,树脂酸和松香酸 ;季戊四醇松脂酸酯,8050-26-8,按生产需要适量使用,,,,,
A2,FCA1138,树脂酸与松香酸的钙盐,9007-13-0,按生产需要适量使用,,,,,
A2,FCA1139,树脂酸与松香酸的锌盐,9010-69-9,按生产需要适量使用 锌元素 SML应符合附录 C规定,,,,,
A2,FCA1144,双酚 A,80-05-7,按生产需要适量使用  0.6(SML) 不得用于生产婴幼儿专用食品接触材料及制品,,,,,
A2,FCA1145,双酚 S,80-09-1,按生产需要适量使用  0.05(SML),,,,,
A2,FCA1151,顺丁烯二酸,110-16-7,按生产需要适量使用  30 3,,,,,
A2,FCA1152,顺丁烯二酸二丁酯,105-76-0,按生产需要适量使用,,,,,
A2,FCA1153,顺丁烯二酸酐,108-31-6,按生产需要适量使用  30 3,,,,,
A2,FCA1157,四硼酸钠五水合物,12179-04-3,按生产需要适量使用  6 16,,,,,
A2,FCA1158,四氢 -2-呋喃甲醇,97-99-4,"按生产需要适量使用  ND(SML,DL=0.01mg/kg)",,,,,
A2,FCA1160,四氢呋喃,109-99-9,按生产需要适量使用  0.6(SML),,,,,
A2,FCA1161,四氧化三铁,1317-61-9,"按生产需要适量使用 纯度要求 ,见注 ;铁元素 SML应符合附录 C",,,,,
A2,FCA1163,松香,8050-09-7,按生产需要适量使用,,,,,
A2,FCA1164,松香甘油酯,8050-31-5,按生产需要适量使用,,,,,
A2,FCA1170,碳化硅,409-21-2,聚四氟乙烯涂料 :15,,,,,
A2,FCA1183,妥尔油松香,8052-10-6,按生产需要适量使用,,,,,
A2,FCA1184,妥尔油松香与反丁烯二酸化松香与甲醛的聚合物  — 按生产需要适量使用  15 15,,,,,,,
A2,FCA1185,妥尔油脂肪酸,61790-12-3,按生产需要适量使用,,,,,
A2,FCA1186,微晶石蜡与烃蜡,63231-60-7,按生产需要适量使用,,,,,
A2,FCA1189,戊二醛,111-30-8,按生产需要适量使用,,,,,
A2,FCA1193,硝酸钠,7631-99-4,按生产需要适量使用,,,,,
A2,FCA1197,辛酸钴,6700-85-2,按生产需要适量使用 钴元素 SML应符合附录 C规定,,,,,
A2,FCA1198,新癸酸钴,27253-31-2,"按生产需要适量使用  0.05(以新癸酸计 ,SML) 生产的材料或制品仅用于接触非脂肪性食品 ;钴元素 SML应符合附录 C规定",,,,,
A2,FCA1202,亚甲基丁二酸,97-65-4,按生产需要适量使用,,,,,
A2,FCA1204,"亚甲基丁二酸与 1,3-丁二烯、苯乙烯、2-丙烯酸和松香的聚合物  — 按生产需要适量使用  1(1,3-丁二烯 :QM)或 ND(1,3-丁二烯 :SML,DL=0.01mg/kg) 6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23",,,,,,,
A2,FCA1207,亚甲基丁二酸与 2-丙烯酸乙酯和 2-甲基 -2-丙烯酸甲酯的聚合物,24980-96-9,按生产需要适量使用  6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23,,,,,
A2,FCA1209,"亚磷酸三 (2,4-二叔丁基苯 )酯 ;三 (2,4-二叔丁基苯基 )亚磷酸酯 ;抗氧剂 168",31570-04-4,0.5(以树脂计 ),,,,,
A2,FCA1211,亚硫酸钠,7757-83-7,按生产需要适量使用  10 19,,,,,
A2,FCA1212,亚硫酸氢钠,7631-90-5,按生产需要适量使用  10 19,,,,,
A2,FCA1214,亚硝酸钠,7632-00-0,按生产需要适量使用  0.6(SML),,,,,
A2,FCA1216,盐酸,7647-01-0,按生产需要适量使用,,,,,
A2,FCA1218,羊毛脂,8006-54-0,按生产需要适量使用,,,,,
A2,FCA1219,羊毛脂蜡,68201-49-0,按生产需要适量使用,,,,,
A2,FCA1222,氧化钙,1305-78-8,按生产需要适量使用,,,,,
A2,FCA1224,氧化镁,1309-48-4,按生产需要适量使用,,,,,
A2,FCA1226,氧化硼钠,1330-43-4,按生产需要适量使用  6 16,,,,,
A2,FCA1228,氧化乙烯的均聚物,68441-17-8,50 1(环氧乙烷 :QM)或,"ND(环氧乙烷 :SML,DL=0.01mg/kg)",,,,
A2,FCA1232,乙醇,64-17-5,按生产需要适量使用,,,,,
A2,FCA1233,乙醇胺,141-43-5,按生产需要适量使用  0.05(SML) 生产的材料或制品仅用于接触非脂肪性食品,,,,,
A2,FCA1234,乙二胺四乙酸,60-00-4,按生产需要适量使用,,,,,
A2,FCA1237,乙二胺四乙酸四钠盐,64-02-8,按生产需要适量使用,,,,,
A2,FCA1242,乙基 -2-羟基乙基纤维素,9004-58-4,按生产需要适量使用,,,,,
A2,FCA1243,"乙基化甲基化甲醛与 6-苯基 -1,3,5-三嗪 -2,4-二胺的聚合物 ;丁醇化的脲与甲醛的聚合物",68002-19-7;68037-08-1,按生产需要适量使用  15 15,,,,,
A2,FCA1244,乙基纤维素,9004-57-3,按生产需要适量使用,,,,,
A2,FCA1245,乙酸,64-19-7,按生产需要适量使用,,,,,
A2,FCA1249,乙酸丁酯,123-86-4,按生产需要适量使用,,,,,
A2,FCA1253,乙酸钠,127-09-3,按生产需要适量使用,,,,,
A2,FCA1254,乙酸乙烯酯,108-05-4,按生产需要适量使用  12(SML),,,,,
A2,FCA1255,"乙酸乙烯酯与氯乙烯、反丁烯二酸和甲基丙烯酸缩水甘油酯的共聚物  — 按生产需要适量使用  0.02(2-甲基 -2-丙烯酸环氧乙烷基甲基酯 :SML);12(乙酸乙烯 :SML);ND(氯乙烯 :SML,DL=0.01mg/kg)或 1(氯乙烯 :QM) 当 2-甲基 -2-丙烯酸环氧乙烷基甲基酯可与所接触食品或食品模拟物发生反应时 ,使用 0.02mg/6dm2(QM)作为其限量值",,,,,,,
A2,FCA1256,乙酸乙烯酯与氯乙烯和乙烯醇的聚合物,25086-48-0,"按生产需要适量使用  ND(氯乙烯 :SML,DL=0.01mg/kg)或","1(氯乙烯 ,QM);12(乙酸乙烯酯 :SML)",,,,
A2,FCA1257,乙酸乙烯酯与乙烯醇的聚合物,25213-24-5,按生产需要适量使用  12(醋酸乙烯酯 :SML),,,,,
A2,FCA1258,乙酸乙烯酯与乙烯的聚合物,24937-78-8,按生产需要适量使用  12(乙酸乙烯酯 :SML),,,,,
A2,FCA1259,乙酸乙酯,141-78-6,按生产需要适量使用,,,,,
A2,FCA1261,乙酸异丁酯,110-19-0,按生产需要适量使用,,,,,
A2,FCA1264,乙烯,74-85-1,按生产需要适量使用,,,,,
A2,FCA1265,乙烯基封端的二甲基 (硅氧烷与聚硅氧烷 ),68083-19-2,按生产需要适量使用,,,,,
A2,FCA1266,乙烯基封端的二甲基甲基乙烯基 (硅氧烷与聚硅氧烷 ),68083-18-1,按生产需要适量使用,,,,,
A2,FCA1274,乙氧基 C12~C14-二元醇,84133-50-6,按生产需要适量使用,,,,,
A2,FCA1275,乙氧基 C16~C18醇,68439-49-6,按生产需要适量使用  0.05(SML),,,,,
A2,FCA1276,乙氧基化 C12~C14醇,68439-50-9,按生产需要适量使用  1.8(SML);1(环氧乙烷 :QM)或,"ND(环氧乙烷 :SML,DL=0.01mg/kg)",,,,
A2,FCA1279,乙氧基化蓖麻油,61791-12-6,按生产需要适量使用  42(SML),,,,,
A2,FCA1283,乙氧基牛脂醇,61791-28-4,按生产需要适量使用  1(环氧乙烷 :QM)或,"ND(环氧乙烷 :SML,DL=0.01mg/kg)",,,,
A2,FCA1284,异丙醇,67-63-0,按生产需要适量使用,,,,,
A2,FCA1286,异佛尔酮,78-59-1,按生产需要适量使用,,,,,
A2,FCA1291,硬脂酸 ;十八烷酸,57-11-4,按生产需要适量使用,,,,,
A2,FCA1293,硬脂酸丁酯 ;十八酸丁酯,123-95-5,按生产需要适量使用 生产的材料或制品仅用于接触非脂肪性食品,,,,,
A2,FCA1301,油酸 ;顺 -9-十八烯酸 ;(Z)-9-十八烯酸,112-80-1,按生产需要适量使用,,,,,
A2,FCA1302,油酸钙,142-17-6,按生产需要适量使用,,,,,
A2,FCA1304,云母,12001-26-2,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A2,FCA1307,"蒸汽裂解轻芳烃的石脑油与富含 1,3-戊二烯蒸汽裂解轻芳烃的石脑油和蒸汽裂解中芳烃的石脑油的聚合物",68527-25-3,60,,,,,
A2,FCA1309,正丙醇,71-23-8,按生产需要适量使用,,,,,
A2,FCA1311,正硅酸四乙酯与六甲基二硅氧烷的聚合物,104133-09-7,按生产需要适量使用,,,,,
A2,FCA1312,正戊醇,71-41-0,按生产需要适量使用,,,,,
A2,FCA1313,支链 α-(4-壬基苯 )-ω-羟基 -聚环氧乙烷,127087-87-0,按生产需要适量使用  1(环氧乙烷 :QM)或,"ND(环氧乙烷 :SML,DL=0.01mg/kg)",,,,
A3,FCA0001,"(1,1-二甲基乙基 )-4-甲氧基苯酚 ;叔丁基羟基茴香醚 (BHA)",25013-16-5,0.1 30(SML),,,,,
A3,FCA0013,"(E,E )-2,4-己二烯酸",110-44-1,0.1,,,,,
A3,FCA0024,[(乙烯基二甲硅基 )氧基和改性 (三甲硅基 )氧基 ]硅烷,68988-89-6,50,,,,,
A3,FCA0029,"1,1,2,3,3,3-六氟 -1-丙烯与 1,1-二氟乙烯的聚合物",9011-17-0,"按生产需要适量使用  ND(1,1,2,3,3,3-六氟 -1-丙烯 :SML,DL=0.01mg/kg);5(1,1-二氟乙烯",:SML),分子量不低于,70000,,
A3,FCA0030,"1,1,2,3,3,3-六氟 -1-丙烯与 1,1-二氟乙烯和四氟乙烯的共聚物",25190-89-0,"按生产需要适量使用  5(1,1-二氟乙烯 :SML);0.05(四氟乙烯",":SML);ND(1,1,2,3,3,3-六氟",-1-丙烯,":SML,DL=0.01mg/kg)",,分子量不低于 100000
A3,FCA0031,"1,1,3-三 (2-甲基 -4-羟基 -5-叔丁苯基 )丁烷",1843-03-4,"0.25 5(SML) 用于生产接触脂肪类、醇类食品的材料或制品时 ,最大使用量为 0.1%",,,,,
A3,FCA0034,"1,1'-联苯 -2-醇钠盐",132-27-4,5,,,,,
A3,FCA0041,"1,2-苯并异噻唑基 -3(2H )-酮",2634-33-5,0.02 1.2(SML),,,,,
A3,FCA0042,"1,2-丙二醇",57-55-6,按生产需要适量使用,,,,,
A3,FCA0047,"1,2-乙二醇",107-21-1,按生产需要适量使用  30 2,,,,,
A3,FCA0053,"1,3,5-三甲基 -2,4,6-三 (3,5-二叔丁基 -4-羟苄 )苯",1709-70-2,0.3,,,,,
A3,FCA0102,1-丁烯与乙烯的聚合物,25087-34-7,5,,,,,
A3,FCA0114,1-乙炔基环己醇,78-27-3,按生产需要适量使用,,,,,
A3,FCA0118,"2-(2H-苯并三唑 -2-基 )-4,6-二 (1-甲基 -1-苯乙基 )-苯酚",70321-86-7,0.5 1.5(SML),,,,,
A3,FCA0138,"2,2'-甲亚基双 (6-环己基 -4-甲基酚 )",4066-02-8,1 3 5,,,,,
A3,FCA0140,"2,2-双 [[3[3,5-双 (1,1-二甲基乙基 )-4-羟苯基 ]-1-氧代丙氧基 ]甲基 ]-1,3-丙二基 -3,5-双 (1,1-二甲基乙基 )-4-羟基苯丙酸酯 ;四 [3-(3,5-二叔丁基 -4-羟基苯基 )丙酸 ]季戊四醇酯 ;四 [3-(3,5-二叔丁基 -4-羟基苯基 )丙酸 ]季戊四醇酯",6683-19-8,0.5,,,,,
A3,FCA0144,"2,2'-亚甲基双 [6-(1,1-二甲基乙基 )-4-乙基苯酚 ]",88-24-4,1 1.5 13,,,,,
A3,FCA0146,"2,2'-亚甲基双 (4-甲基 -6-叔丁基苯酚 )",119-47-1,"按生产需要适量使用  1.5 13 用于奶嘴时 ,应符合相关标准的要求",,,,,
A3,FCA0149,"2,4,6,8-四乙烯基 -2,4,6,8-四甲基环四硅氧烷",2554-06-5,按生产需要适量使用,,,,,
A3,FCA0156,"2,4-二氯苯甲酰过氧化物",133-14-2,0.2,,,,,
A3,FCA0161,"2,5-二甲基 -2,5-双 (过氧叔丁基 )己烷",78-63-7,按生产需要适量使用  100(叔丁醇 :QM),,,,,
A3,FCA0169,"2-[(1,3-二氢 -1,3-二氧代 -2H-异吲哚基 )甲基 ]-5,12-二氢喹啉并 [2,3-b]吖啶 -7,14-二酮",75641-02-0,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A3,FCA0179,2-苯丙烯,98-83-9,按生产需要适量使用  0.05(SML),,,,,
A3,FCA0232,"2-甲基 -2-丙烯酸 -1,2-乙二醇酯",97-90-5,按生产需要适量使用  0.05(SML),,,,,
A3,FCA0278,"2-甲基 -4,6-二 [(辛基硫基 )甲基 ]苯酚",110553-27-0,1.7 5 24,,,,,
A3,FCA0318,"3,3'-硫代二丙酸二月桂酯",123-28-4,0.5 5 14,,,,,
A3,FCA0319,"3,3'-硫代双丙酸二 (十八烷基 )酯",693-36-7,0.25 5 14,,,,,
A3,FCA0321,"3,4,5-三羟基苯甲酸正丙酯",121-79-9,按生产需要适量使用  30 20,,,,,
A3,FCA0324,"3,5-二 (1,1-二甲基乙基 )-4-羟基 -苯丙酸 -1,6-己二基酯",35074-77-2,1 6(SML),,,,,
A3,FCA0343,"4,4'-硫代双 (5-甲基 -2-叔丁基苯酚 )",96-69-5,按生产需要适量使用  0.48(SML),,,,,
A3,FCA0348,"4,5-二氯 -2-[[4,5-二氢 -3-甲基 -5-氧代 -1-(3-磺酰氧基苯基 )-1H-吡唑 -4-基 ]偶氮 ]苯磺酸二钠",65212-76-2,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A3,FCA0350,"4-[(4,6-二辛硫基 -1,3,5-三嗪 -2-基 )氨基 ]-2,6-二 (1,1-甲基乙基 )苯酚",991-84-4,0.5 30(SML),,,,,
A3,FCA0395,C.I.颜料白 21;硫酸钡,7727-43-7,"按生产需要适量使用 应符合着色剂纯度要求 ,见注 ;钡元素 SML应符合附录 C规定",,,,,
A3,FCA0396,C.I.颜料白 4;氧化锌,1314-13-2,"10 应符合着色剂纯度要求 ,见注 ;锌元素 SML应符合附录 C规定",,,,,
A3,FCA0397,C.I.颜料白 6;二氧化钛,13463-67-7;1317-80-2,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A3,FCA0406,C.I.颜料黑 11;氧化铁黑,12227-89-3,"按生产需要适量使用 应符合着色剂纯度要求 ,见注 ;铁元素 SML应符合附录 C规定",,,,,
A3,FCA0409,C.I.颜料黑 7;炭黑,1333-86-4,"50 甲苯萃取物小于 1%,苯并 [a]芘含量小于 0.25mg/kg;应符合着色剂纯度要求 ,见注",,,,,
A3,FCA0410,C.I.颜料红 101;三氧化二铁 ;氧化铁,1309-37-1,"10 应符合着色剂纯度要求 ,见注 ;铁元素 SML应符合附录 C规定",,,,,
A3,FCA0420,C.I.颜料红 179,5521-31-3,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A3,FCA0450,"C.I.颜料黄 147;1,1'-[(6-苯基 -1,3,5-三嗪 -2,4二基 )二亚氨基 ]联蒽醌",4118-16-5,"0.25 应符合着色剂纯度要求 ,见注",,,,,
A3,FCA0451,"C.I.颜料黄 151;2-[[1-[[(2,3-二氢 -2-氧代 -1H-苯并咪唑 -5-基 )氨基 ]羰基 ]-2-氧代丙基 ]偶氮 ]苯甲酸",31837-42-0,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A3,FCA0469,C.I.颜料蓝 15:1,12239-87-1,"0.25 应符合着色剂纯度要求 ,见注 ;铜元素 SML应符合附录 C规定",,,,,
A3,FCA0470,C.I.颜料蓝 15;酞菁蓝 ;酞菁铜,147-14-8,"0.25 应符合着色剂纯度要求 ,见注 ;铜元素 SML应符合附录 C规定",,,,,
A3,FCA0474,C.I.颜料蓝 29,57455-37-5,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A3,FCA0480,"C.I.颜料绿 36;1,3,8,16,18,24-六溴 -2,4,9,10,11,15,17,22,23,25-十氯 -29H ,31H-酞菁 (2-)N29,N30,N31,N32]-(SP-4-2)-菁 K-1360",14302-13-7,"按生产需要适量使用 应符合着色剂纯度要求 ,见注。所生产出的材料和制品使用温度低于 70℃;铜元素 SML应符合附录 C规定",,,,,
A3,FCA0482,C.I.颜料绿 7;酞菁绿 G;多氯酞花青铜,1328-53-6,"按生产需要适量使用 应符合着色剂纯度要求 ,见注 ;铜元素 SML应符合附录 C规定",,,,,
A3,FCA0484,"C.I.颜料紫 19;5,12-二氢 -喹啉并 [2,3-b]吖啶 -7,14-二酮",1047-16-1,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A3,FCA0486,"C.I.颜料紫 23;8,18-二氯 -5,15-二乙基 -5,15-二氢二吲哚 [3,2-b:3' ,2'-m]三吩二嗪",215247-95-3;6358-30-1,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A3,FCA0501,C10~C18烷基磺酸苯酯,70775-94-9,10 生产的材料或制品接触食品时间不超过 24h,,,,,
A3,FCA0516,D-酒石酸,87-69-4,按生产需要适量使用,,,,,
A3,FCA0530,"N ,N'-己基 -1,6-二 [3-(3,5-二叔丁基 -4-羟苯基 )丙酰胺 ]",23128-74-7,0.6 45(SML),,,,,
A3,FCA0552,N-氧二乙撑基 -2-苯并噻唑次磺酰胺 (NOBS);4-(2-苯并噻唑硫基 )吗啉,102-77-2,1.5,,,,,
A3,FCA0576,"(二叔丁β-3,5-基 -4-羟基苯基 )丙酸十八醇酯 ;十八烷基 -3,5-双 (1,1-二甲基乙基 )-4-羟基苯丙酸酯",2082-79-3,0.5 6(SML),,,,,
A3,FCA0582,白矿物油,8042-47-5,"45 平均分子量不低于 480。100℃时运动黏度不低于 8.5-6m2/×10s。矿物碳氢化合物碳原子数少于 25的物质不高于 5%(质量分数)。用于生产接触非脂肪性食品的材料或制品时 ,橡胶含量应大于 20%(质量分数 )",,,,,
A3,FCA0583,白土处理的矿脂 (白矿物油 ),100684-33-1,按生产需要适量使用,,,,,
A3,FCA0587,苯基三乙氧基硅烷与 (硅氧烷和聚硅氧烷 )的凝聚物,72480-33-2,按生产需要适量使用,,,,,
A3,FCA0599,蓖麻油,8001-79-4,30,,,,,
A3,FCA0609,丙酸,79-09-4,按生产需要适量使用,,,,,
A3,FCA0612,丙酮和二苯胺高温反应物,68412-48-6,5,,,,,
A3,FCA0682,次磷酸钠,7681-53-0,按生产需要适量使用,,,,,
A3,FCA0688,单乙烯基封端的二甲基、甲基乙烯基 (硅氧烷与聚硅氧烷 ),68951-99-5,按生产需要适量使用,,,,,
A3,FCA0695,碘化钠,7681-82-5,按生产需要适量使用  1 6,,,,,
