表格,FCA编号,中文名称,CAS号,使用范围和最大使用量/%,SML/QM/(mg/kg),SML(T)/(mg/kg),SML(T),分组编号,其他要求
A1,FCA0127,"2,2'-(9-十八烯基亚氨基 )双 (乙醇 )",25307-17-9,PE:0.15,1.2(SML),,,,
A1,FCA0128,"2,2'(或 3,3')-氧双 -5(或 2)-十二烷基苯磺酸钠",25167-32-2,"PE,PP:0.3",,,,,
A1,FCA0129,"2,2,4,4-四甲基 -7-氧杂 -3,20-二氮杂 -20-(2,3-环丙基 )二螺 -[5.1.112]二十一烷 -21-酮的聚合物",78301-43-6,". PP,PE,PS,PVC,PA,PC,ABS,AS,PET:按生产需要适量使用",5(SML),,,,
A1,FCA0130,"2,2,4,4-四甲基 -7-氧杂 -3,20-二氮杂二螺 -[5.1.11.2]-二十一烷 -21-酮盐酸盐与表氯醇水解产物的聚合物",202483-55-4,"PP,PE:0.5",5(SML),,,,
A1,FCA0131,"2,2,4-三甲基 -1,3-戊二醇二异丁酸酯 ;TX-IB",6846-50-0,PVC:10,5(SML),仅可用于生产重复使用的,PVC制品,,"(包括用于食品加工的 PVC手套 ),生产的材料或制品使用温度不超过 100℃"
A1,FCA0132,"2,2'-[(1-甲基亚乙基 )双 (4,1-亚苯氧基亚甲基 )]双环氧乙烷",1675-54-3,"PE,PP,PS,AS,ABS,PA,PET,PC:按生产需要适量使用","3[2,2-双 (4-羟基苯基 )丙烷 :SML];1(环氧乙烷 :QM)或",ND(环氧乙烷,":SML,DL=0.01mg/kg)",,
A1,FCA0133,"2,2'-[(二甲基亚锡 )双 (硫代 )]双乙酸二异辛酯",26636-01-1,PVC:2,0.18,9,,,
A1,FCA0134,"2,2'-[(二辛基亚锡 )双 (硫代 )]双乙酸二异辛酯",26401-97-8,"PVC:3;PE,PP,PS,AS,ABS,PA,PET,PC,PVDC,UP:1",0.006,10,,,
A1,FCA0135,"2,2-二甲基 -1,3-丙二醇",126-30-7,PET:按生产需要适量使用,0.05(SML),,,,
A1,FCA0136,"2,2-二羟甲基丁醇 ;3-羟甲基丙烷 ;TMP",77-99-6,0.12 6(SML),,,,,
A1,FCA0138,"2,2'-甲亚基双 (6-环己基 -4-甲基酚 )",4066-02-8,"PE,PP,PS:0.5",3,5,,,
A1,FCA0139,"2,2'-偶氮二 (2-甲基丙腈 )",78-67-1,"PE,PP,PS,PVC:0.2",,,,,
A1,FCA0140,"2,2-双 [[3[3,5-双 (1,1-二甲基乙基 )-4-羟苯基 ]-1-氧代丙氧基 ]甲基 ]-1,3-丙二基 -3,5-双 (1,1-二甲基乙基 )-4-羟基苯丙酸酯 ;四 [3-(3,5-二叔丁基 -4-羟基苯基 )丙酸 ]季戊四醇酯 ;四 [3-(3,5-二叔丁基 -4-羟基苯基 )丙酸 ]季戊四醇酯",6683-19-8,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PEI,PPE,PBT,PCCD,EVA,PLA,E/NB:0.5;POM:1",,,,,
A1,FCA0142,"2,2'-亚甲基二 [4-甲基 -6-(1-甲基环己基 )]苯酚",77-62-3,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",3,5,,,
A1,FCA0143,"2,2'-亚甲基二 [6-(2H-苯并三唑 -2-基 )-4-(1,1,3,3-四甲基丁基 )苯酚 ]",103597-45-1,PET:0.7;PC:2,所生产出的材料和制品用于接触水性和酸性食品时,",使用温度低于",100℃;用于接触脂肪性和醇性食品时,,",使用温度低于 80℃"
A1,FCA0144,"2,2'-亚甲基双 [6-(1,1-二甲基乙基 )-4-乙基苯酚 ]",88-24-4,"PE:0.5;PP,PS,AS,ABS:0.6",1.5,13,,,
A1,FCA0145,"2,2-亚甲基双 -(4,6-叔丁基苯基 )磷酸酯钠盐",85209-91-2,PE:0.3;PP:05;PS:2,.5(SML),,,,
A1,FCA0146,"2,2'-亚甲基双 (4-甲基 -6-叔丁基苯酚 )",119-47-1,"PE,PP:0.1;PS:0.4;AS:06;ABS:2;POM:0.5;TPC-ET:5;PA:按生产需要适量使用",.,1.5,13,,
A1,FCA0147,"2,2'-亚甲基双 (4-氯苯酚 )",97-23-4,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",12(SML),,,,
A1,FCA0148,"2,2'-亚乙基 -双 -[4,6-双 (1,1-二甲基乙基 )]酚",35958-30-6,"PE,PP,PS,PVC:0.1;ABS:0.2",5(SML),,,,
A1,FCA0151,"2,2'-亚甲基 -双 (4,6-二叔丁基苯基 )磷酸锂",85209-93-4,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",5(SML),锂元素,SML应符合附录,,C规定
A1,FCA0152,"2,4,8,10-四 (1,1-二甲乙基 )-6-[(2-乙己基 )氧 ]-12H-二苯基 [d,g][1,3,2]二氧磷杂八环",126050-54-2,PP:0.25;PE:015;PS:0.2,.,所生产出的,PP、PE材料和制品使用温度低于,,"100℃。所生产的 PS仅限于苯乙烯 -丁二烯嵌段共聚物和橡胶改性苯乙烯 ,且生产出的材料和制品的使用温度低于 66℃。所生产出的材料和制品不得用于接触脂肪性食品"
A1,FCA0153,"2,2-亚乙基 -双 (4,6-二叔丁基苯基 )氟化磷腈",118337-09-0,"PP,PE:0.3",6(SML),,,,
A1,FCA0155,"2,4-二甲基 -6-(1-甲基 -十五烷基 )酚",134701-20-5,"PS,AS,ABS:0.5;PVC:0.033",1(SML),,,,
A1,FCA0158,"2,4-二氢 -4-[(5-羟基 -3-甲基 -1-苯基 -1H-吡唑 -4-基 )亚甲基 ]-5-甲基 -2-苯基 -3H-吡唑 -3-酮",4174-09-8,PET:0.2,应符合着色剂纯度要求,",见注",,,
